City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp(Celsius)
148,iskateley,67.6803,53.1512,273.67,91,100,1.93,RU,1667719252,0.5699999999999932
149,kibala,9.1104,18.3463,299.12,44,0,3.6,TD,1667719252,26.019999999999982
150,swansea,51.6208,-3.9432,286.08,90,100,4.97,GB,1667719252,12.979999999999961
151,knysna,-34.0363,23.0471,296.03,63,0,2.99,ZA,1667719253,22.92999999999995
152,lavrentiya,65.5833,-171.0,274.12,98,100,14.65,RU,1667719254,1.0199999999999818
153,chara,56.9064,118.2631,266.49,82,35,2.15,RU,1667719254,-6.610000000000014
154,upernavik,72.7868,-56.1549,265.78,87,100,4.66,GL,1667719254,-7.32000000000005
155,ferme-neuve,46.7001,-75.4493,291.85,82,100,8.16,CA,1667719255,18.75
156,paris,48.8534,2.3488,283.49,86,100,5.14,FR,1667718494,10.389999999999986
157,roebourne,-20.7833,117.1333,302.28,32,87,10.23,AU,1667719255,29.17999999999995
158,faanui,-16.4833,-151.75,298.49,83,100,10.46,PF,1667719255,25.389999999999986
159,batemans bay,-35.7167,150.1833,293.2,75,98,3.39,AU,1667719256,20.099999999999966
160,uray,60.1247,64.7758,268.63,82,100,3.3,RU,1667719256,-4.470000000000027
161,halifax,44.6453,-63.5724,288.43,93,58,4.63,CA,1667719236,15.329999999999984
162,severo-kurilsk,50.6789,156.125,276.54,85,100,4.34,RU,1667719257,3.4399999999999977
163,ust-kut,56.7938,105.7672,273.56,71,100,2.81,RU,1667719257,0.45999999999997954
164,rongcheng,30.634,117.8517,295.77,31,0,0.54,CN,1667719257,22.66999999999996
165,san luis,-33.295,-66.3356,293.38,33,68,5.66,AR,1667719257,20.279999999999973
166,marsa matruh,31.3525,27.2453,293.79,50,0,6.44,EG,1667719258,20.689999999999998
167,benidorm,38.5382,-0.131,290.7,45,10,4.77,ES,1667719258,17.599999999999966
168,grindavik,63.8424,-22.4338,279.12,65,75,6.69,IS,1667719259,6.019999999999982
169,sindor,62.8629,51.8905,273.38,97,100,3.07,RU,1667719259,0.2799999999999727
170,tautira,-17.7333,-149.15,297.54,87,100,13.13,PF,1667719259,24.439999999999998
171,whitehorse,60.7161,-135.0538,259.58,68,100,3.6,CA,1667719260,-13.520000000000039
172,liku,-0.7275,119.8922,303.4,63,69,1.7,ID,1667719260,30.299999999999955
173,ponta do sol,32.6667,-17.1,292.99,87,13,1.21,PT,1667719261,19.889999999999986
174,ancud,-41.8697,-73.8203,284.28,82,100,2.81,CL,1667719261,11.17999999999995
175,grand-lahou,5.1367,-5.0242,298.54,87,50,2.47,CI,1667719262,25.439999999999998
176,haines junction,60.7522,-137.5108,260.12,56,100,2.57,CA,1667719262,-12.980000000000018
177,goundi,9.3627,17.366,298.33,26,92,1.85,TD,1667719263,25.22999999999996
